S.No,Date,Time,Months,Sample,Gmb,Gmm,Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic,"Air Voids, Va"
1,16-09-2019,Month 1,1,1,2.339,2.505,5.6,93.4,2.734,2.56,99.09,93.31,92.5,7.1,2.6,3,25984,6.6
2,16-09-2020,Month 1,1,2,2.338,2.505,5.6,93.3,2.734,2.56,99.95,93.33,93.3,7.1,2.6,3,25984,6.7
3,16-09-2021,Month 1,1,3,2.309,2.505,4.8,92.2,2.697,2.56,99.93,92.17,92.1,8.5,2.1,2.7,25984,7.8
4,16-09-2022,Month 1,1,4,2.321,2.505,4.8,92.7,2.697,2.56,99.91,92.65,92.6,7.9,2.1,2.7,25984,7.3
5,16-09-2023,Month 1,1,5,2.294,2.505,5.6,91.6,2.734,2.56,99.88,91.57,91.5,9.2,2.6,3,25984,8.4
6,16-09-2024,Month 1,1,6,2.295,2.505,5.6,91.6,2.734,2.56,99.86,91.61,91.5,9.2,2.6,3,25984,8.4
7,16-09-2025,Month 1,1,7,2.299,2.505,5.3,91.8,2.72,2.56,99.84,91.76,91.6,9,2.4,2.9,25984,8.2
8,16-09-2026,Month 1,1,8,2.356,2.505,5.3,94.1,2.72,2.56,99.81,94.04,93.9,6.3,2.4,2.9,25984,5.9
9,16-09-2027,Month 1,1,9,2.309,2.505,5.8,92.2,2.744,2.56,99.79,92.16,92,8.5,2.7,3.1,25984,7.8
10,16-09-2028,Month 1,1,10,2.319,2.505,5.8,92.6,2.744,2.56,99.77,92.56,92.3,8,2.7,3.1,25984,7.4
11,18-10-2019,Month 2,2,1,2.32,2.505,5.3,92.6,2.72,2.56,99.98,92.61,92.6,8,2.4,2.9,52094,7.4
12,18-10-2020,Month 2,2,2,2.329,2.505,5.3,93,2.72,2.56,99.95,92.97,92.9,7.6,2.4,2.9,52094,7
13,18-10-2021,Month 2,2,3,2.284,2.505,4.9,91.2,2.702,2.56,99.93,91.17,91.1,9.7,2.1,2.8,52094,8.8
14,18-10-2022,Month 2,2,4,2.286,2.505,4.9,91.2,2.702,2.56,99.91,91.25,91.2,9.6,2.1,2.8,52094,8.7
